productName;category;price;warehouseQuantity
Alma;Élelmiszer;70;500
Banán;Élelmiszer;100;200
Milka;Élelmiszer;400;70
Pálma;Dísznövény;3500;15
Orchidea;Dísznövény;4500;21
Só;Élelmiszer;200;85
Zsemle;Élelmiszer;35;175
Laptop;Elektronika;245000;6
Televízió;Elektronika;150000;4
Narancslé;Ital;370;64
Pezsgő;Ital;890;45
Bor;Ital;1500;38
Mandarin;Élelmiszer;60;730
Torta;Élelmiszer;4500;13
Fülhallgató;Elektronika;25000;18
Nadrág;Ruha;5500;57
Póló;Ruha;3490;75
Pulóver;Ruha;7490;43
Kabát;Ruha;15000;12
Párna;Lakberendezés;7690;31
Takaró;Lakberendezés;8300;35
Lepedő;Lakberendezés;3000;27
Cipő;Ruha;20000;19
Nyaklánc;Ékszer;34000;3
Fülbevaló;Ékszer;24000;5
Gyűrű;Ékszer;40000;6
Képkeret;Lakberendezés;750;25
Tablet;Elektronika;140000;4
Pohárkészlet;Lakberendezés;4990;21
Tej;Élelmiszer;210;230
Hagyma;Élelmiszer;120;64
Sapka;Ruha;2990;32
Sál;Ruha;3490;28
Ceruza;Papírírószer;450;31
Toll;Papírírószer;1200;23
Tusfürdő;Tisztálkodószer;600;79
Fogkrém;Tisztálkodószer;890;47
Sampon;Tisztálkodószer;590;58
Bőrradír;Tisztálkodószer;1150;37
Mosogatószer;Tisztítószer;980;28
Mosópor;Tisztítószer;1860;24
Füzet;Papírírószer;350;26
Társas;Játék;9850;7
Kártya;Játék;3000;8
Tolltartó;Papírírószer;2500;21
Szék;Lakberendezés;25000;24
Asztal;Lakberendezés;35000;14
Fotel;Lakberendezés;50000;6
Függöny;Lakberendezés;3600;12
Lámpa;Lakberendezés;8300;4
Hajgumi;Kiegészítő;1100;30
Táska;Kiegészítő;7990;11
Rúzs;Smink;2300;15
Szempillaspirál;Smink;3150;22
Pirosító;Smink;2250;14
Cola;Élelmiszer;450;86
Kávé;Élelmiszer;840;55
Napszemüveg;Kiegészítő;3790;1
Ásványvíz;Élelmiszer;120;230
Sör;Élelmiszer;290;188
Malibu;Élelmiszer;4700;25
